description,poster_link,rating,title
"Trekking the 3000-mile journey from Shanghai to the Himalayan snowscapes, a group of misfits encounter a young Yeti named Everest, and they set off to reunite the magical creature with his family on the mountain…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/iK0Q7VWxHsXU1uMzpkf3VjAd6yE.jpg,75.0,Abominable
"Jack Malik is a struggling singer-songwriter in an English seaside town whose dreams of fame are rapidly fading, despite the fierce devotion and support of his childhood best friend, Ellie. After a freak bus accident…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/1rjaRIAqFPQNnMtqSMLtg0VEABi.jpg,67.0,Yesterday
"Determined to keep Annabelle from wreaking more havoc, demonologists Ed and Lorraine Warren bring the possessed doll to the locked artifacts room in their home, placing her “safely” behind sacred glass and enlisting…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/qWsHMrbg9DsBY3bCMk9jyYCRVRs.jpg,60,Annabelle Comes Home
"The story follows Carol Danvers as she becomes one of the universe’s most powerful heroes when Earth is caught in the middle of a galactic war between two alien races. Set in the 1990s, Captain Marvel is an all…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/AtsgWhDnHTq68L0lLsUrCnM7TjG.jpg,70,Captain Marvel
"Miles Morales is juggling his life between being a high school student and being a spider-man. When Wilson ""Kingpin"" Fisk uses a super collider, others from across the Spider-Verse are transported to this dimension.",https://image.tmdb.org/t/p/w185_and_h278_bestv2/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,84.0,Spider-Man: Into the Spider-Verse
Young princess Anna of Arendelle dreams about finding true love at her sister Elsa’s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She…,https://image.tmdb.org/t/p/w185_and_h278_bestv2/eFnGmj63QPUpK7QUWSOUhypIQOT.jpg,73.0,Frozen
"Princes who have been turned into Dwarfs seek the red shoes of a lady in order to break the spell, although it will not be easy.",https://image.tmdb.org/t/p/w185_and_h278_bestv2/MBiKqTsouYqAACLYNDadsjhhC0.jpg,54.0,Red Shoes and the Seven Dwarfs
"One Piece: Stampede is a stand-alone film that celebrates the anime's 20th Anniversary and takes place outside the canon of the ""One Piece"" TV series. Monkey D. Luffy and his Straw Hat pirate crew are invited to…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/4E2lyUGLEr3yH4q6kJxPkQUhX7n.jpg,85.0,One Piece: Stampede
"The Men in Black have always protected the Earth from the scum of the universe. In this new adventure, they tackle their biggest, most global threat to date: a mole in the Men in Black organization.",https://image.tmdb.org/t/p/w185_and_h278_bestv2/dPrUPFcgLfNbmDL8V69vcrTyEfb.jpg,59.0,Men in Black: International
Interstellar chronicles the adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar…,https://image.tmdb.org/t/p/w185_and_h278_bestv2/nBNZadXqJSdt05SHLqgT0HuC5Gm.jpg,83.0,Interstellar
"Hellboy comes to England, where he must defeat Nimue, Merlin's consort and the Blood Queen. But their battle will bring about the end of the world, a fate he desperately tries to turn away.",https://image.tmdb.org/t/p/w185_and_h278_bestv2/bk8LyaMqUtaQ9hUShuvFznQYQKR.jpg,51.0,Hellboy
A boy is given the ability to become an adult superhero in times of need with a single magic word.,https://image.tmdb.org/t/p/w185_and_h278_bestv2/xnopI5Xtky18MPhK40cZAGAOVeV.jpg,70,Shazam!
Princess Leia is captured and held hostage by the evil Imperial forces in their effort to take over the galactic Empire. Venturesome Luke Skywalker and dashing captain Han Solo team together with the loveable robot…,https://image.tmdb.org/t/p/w185_and_h278_bestv2/btTdmkgIvOi0FFip1sPuZI2oQG6.jpg,82.0,Star Wars
"In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg,78.0,Logan
"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some…",https://image.tmdb.org/t/p/w185_and_h278_bestv2/zkXnKIwX5pYorKJp2fjFSfNyKT0.jpg,70,John Wick: Chapter 2
